COUNTRIES,REGIONS,Years,Sales Value
RUSSIA,"RUSSIA, TURKEY & OTHER EUROPE",2012,2755384
RUSSIA,"RUSSIA, TURKEY & OTHER EUROPE",2013,2649181
RUSSIA,"RUSSIA, TURKEY & OTHER EUROPE",2014,2286877
SERBIA,"RUSSIA, TURKEY & OTHER EUROPE",2005,21603
SERBIA,"RUSSIA, TURKEY & OTHER EUROPE",2006,25610
SERBIA,"RUSSIA, TURKEY & OTHER EUROPE",2007,32772
SERBIA,"RUSSIA, TURKEY & OTHER EUROPE",2008,36177
SERBIA,"RUSSIA, TURKEY & OTHER EUROPE",2009,30000
SERBIA,"RUSSIA, TURKEY & OTHER EUROPE",2010,28951
SERBIA,"RUSSIA, TURKEY & OTHER EUROPE",2011,22181
SERBIA,"RUSSIA, TURKEY & OTHER EUROPE",2012,22800
SERBIA,"RUSSIA, TURKEY & OTHER EUROPE",2013,23000
SERBIA,"RUSSIA, TURKEY & OTHER EUROPE",2014,23900
TURKEY,"RUSSIA, TURKEY & OTHER EUROPE",2005,438597
TURKEY,"RUSSIA, TURKEY & OTHER EUROPE",2006,373219
TURKEY,"RUSSIA, TURKEY & OTHER EUROPE",2007,357465
TURKEY,"RUSSIA, TURKEY & OTHER EUROPE",2008,305998
TURKEY,"RUSSIA, TURKEY & OTHER EUROPE",2009,369819
TURKEY,"RUSSIA, TURKEY & OTHER EUROPE",2010,509784
TURKEY,"RUSSIA, TURKEY & OTHER EUROPE",2011,593519
TURKEY,"RUSSIA, TURKEY & OTHER EUROPE",2012,556280
TURKEY,"RUSSIA, TURKEY & OTHER EUROPE",2013,664655
TURKEY,"RUSSIA, TURKEY & OTHER EUROPE",2014,587331
UKRAINE,"RUSSIA, TURKEY & OTHER EUROPE",2005,258395
UKRAINE,"RUSSIA, TURKEY & OTHER EUROPE",2006,361549
UKRAINE,"RUSSIA, TURKEY & OTHER EUROPE",2007,500357
UKRAINE,"RUSSIA, TURKEY & OTHER EUROPE",2008,599985
UKRAINE,"RUSSIA, TURKEY & OTHER EUROPE",2009,170085
UKRAINE,"RUSSIA, TURKEY & OTHER EUROPE",2010,169540
UKRAINE,"RUSSIA, TURKEY & OTHER EUROPE",2011,207453
UKRAINE,"RUSSIA, TURKEY & OTHER EUROPE",2012,237602
UKRAINE,"RUSSIA, TURKEY & OTHER EUROPE",2013,213322
UKRAINE,"RUSSIA, TURKEY & OTHER EUROPE",2014,97020
CANADA,AMERICA,2005,847436
CANADA,AMERICA,2006,858826
CANADA,AMERICA,2007,841585
CANADA,AMERICA,2008,872720
CANADA,AMERICA,2009,729023
CANADA,AMERICA,2010,694349
CANADA,AMERICA,2011,681956
CANADA,AMERICA,2012,748530
CANADA,AMERICA,2013,755615
CANADA,AMERICA,2014,755500
MEXICO,AMERICA,2005,714010
MEXICO,AMERICA,2006,680946
MEXICO,AMERICA,2007,641394
MEXICO,AMERICA,2008,589045
MEXICO,AMERICA,2009,439120
MEXICO,AMERICA,2010,503748
MEXICO,AMERICA,2011,592101
MEXICO,AMERICA,2012,649333
MEXICO,AMERICA,2013,698217
MEXICO,AMERICA,2014,745250
UNITED STATES OF AMERICA,AMERICA,2005,7659983
UNITED STATES OF AMERICA,AMERICA,2006,7761592
UNITED STATES OF AMERICA,AMERICA,2007,7562334
UNITED STATES OF AMERICA,AMERICA,2008,6769107
UNITED STATES OF AMERICA,AMERICA,2009,5400890
UNITED STATES OF AMERICA,AMERICA,2010,5635432
UNITED STATES OF AMERICA,AMERICA,2011,6089403
UNITED STATES OF AMERICA,AMERICA,2012,7241900
UNITED STATES OF AMERICA,AMERICA,2013,7585341
UNITED STATES OF AMERICA,AMERICA,2014,7687619
ARGENTINA,CENTRAL & SOUTH AMERICA,2005,290648
ARGENTINA,CENTRAL & SOUTH AMERICA,2006,336296
ARGENTINA,CENTRAL & SOUTH AMERICA,2007,422230
ARGENTINA,CENTRAL & SOUTH AMERICA,2008,452539
ARGENTINA,CENTRAL & SOUTH AMERICA,2009,373231
ARGENTINA,CENTRAL & SOUTH AMERICA,2010,522591
ARGENTINA,CENTRAL & SOUTH AMERICA,2011,673853
ARGENTINA,CENTRAL & SOUTH AMERICA,2012,596397
ARGENTINA,CENTRAL & SOUTH AMERICA,2013,684379
ARGENTINA,CENTRAL & SOUTH AMERICA,2014,432696
BAHAMAS,CENTRAL & SOUTH AMERICA,2005,2500
BAHAMAS,CENTRAL & SOUTH AMERICA,2006,2000
BAHAMAS,CENTRAL & SOUTH AMERICA,2007,2000
BAHAMAS,CENTRAL & SOUTH AMERICA,2008,2000
BAHAMAS,CENTRAL & SOUTH AMERICA,2009,3500
BAHAMAS,CENTRAL & SOUTH AMERICA,2010,2000
BAHAMAS,CENTRAL & SOUTH AMERICA,2011,2000
BAHAMAS,CENTRAL & SOUTH AMERICA,2012,2500
BAHAMAS,CENTRAL & SOUTH AMERICA,2013,2000
BAHAMAS,CENTRAL & SOUTH AMERICA,2014,1600
BELIZE,CENTRAL & SOUTH AMERICA,2005,100
BELIZE,CENTRAL & SOUTH AMERICA,2006,200
BELIZE,CENTRAL & SOUTH AMERICA,2007,100
BELIZE,CENTRAL & SOUTH AMERICA,2008,200
BELIZE,CENTRAL & SOUTH AMERICA,2009,150
BELIZE,CENTRAL & SOUTH AMERICA,2010,100
BELIZE,CENTRAL & SOUTH AMERICA,2011,100
BELIZE,CENTRAL & SOUTH AMERICA,2012,200
BELIZE,CENTRAL & SOUTH AMERICA,2013,200
BELIZE,CENTRAL & SOUTH AMERICA,2014,200
BOLIVIA,CENTRAL & SOUTH AMERICA,2005,1000
BOLIVIA,CENTRAL & SOUTH AMERICA,2006,1500
BOLIVIA,CENTRAL & SOUTH AMERICA,2007,1500
BOLIVIA,CENTRAL & SOUTH AMERICA,2008,1500
BOLIVIA,CENTRAL & SOUTH AMERICA,2009,1000
BOLIVIA,CENTRAL & SOUTH AMERICA,2010,8000
BOLIVIA,CENTRAL & SOUTH AMERICA,2011,9500
BOLIVIA,CENTRAL & SOUTH AMERICA,2012,14000
BOLIVIA,CENTRAL & SOUTH AMERICA,2013,13900
BOLIVIA,CENTRAL & SOUTH AMERICA,2014,18500
BRAZIL,CENTRAL & SOUTH AMERICA,2005,1369182
BRAZIL,CENTRAL & SOUTH AMERICA,2006,1556220
BRAZIL,CENTRAL & SOUTH AMERICA,2007,1975518
BRAZIL,CENTRAL & SOUTH AMERICA,2008,2193277
BRAZIL,CENTRAL & SOUTH AMERICA,2009,2474764
BRAZIL,CENTRAL & SOUTH AMERICA,2010,2644706
BRAZIL,CENTRAL & SOUTH AMERICA,2011,2647250
BRAZIL,CENTRAL & SOUTH AMERICA,2012,2851540
BRAZIL,CENTRAL & SOUTH AMERICA,2013,2763718
BRAZIL,CENTRAL & SOUTH AMERICA,2014,2504161
CHILE,CENTRAL & SOUTH AMERICA,2005,140000
CHILE,CENTRAL & SOUTH AMERICA,2006,140000
CHILE,CENTRAL & SOUTH AMERICA,2007,180000
CHILE,CENTRAL & SOUTH AMERICA,2008,181523
CHILE,CENTRAL & SOUTH AMERICA,2009,130753
CHILE,CENTRAL & SOUTH AMERICA,2010,212336
CHILE,CENTRAL & SOUTH AMERICA,2011,245116
CHILE,CENTRAL & SOUTH AMERICA,2012,257013
CHILE,CENTRAL & SOUTH AMERICA,2013,286588
CHILE,CENTRAL & SOUTH AMERICA,2014,256160
COLOMBIA,CENTRAL & SOUTH AMERICA,2005,120000
COLOMBIA,CENTRAL & SOUTH AMERICA,2006,160000
COLOMBIA,CENTRAL & SOUTH AMERICA,2007,200000
